Config,SL,TSL-R,Thr,Avg ROI%,Avg Win%,Total Trades,Max DD
Trend Sniper (Lean),15,30,0.55,-2.4792499999999835,27.285147887564097,6876,7.766796446041729
Trend Sniper (Lean),10,30,0.55,-2.4792499999999835,27.285147887564097,6876,7.766796446041729
Trend Sniper (Lean),15,50,0.55,-2.574499999999982,27.294048271209128,6871,7.766796446041729
Trend Sniper (Lean),10,50,0.55,-2.574499999999982,27.294048271209128,6871,7.766796446041729
Trend Sniper (Lean),15,30,0.35,-4.353500000000041,31.11604143079922,15540,9.22669597362365
Trend Sniper (Lean),10,30,0.35,-4.353500000000041,31.11604143079922,15540,9.22669597362365
Trend Sniper (Lean),15,50,0.35,-4.431500000000041,31.12493680858688,15533,9.22669597362365
Trend Sniper (Lean),10,50,0.35,-4.431500000000041,31.12493680858688,15533,9.22669597362365
Super-Alpha (Balanced),10,30,0.55,-5.899625000000027,28.384050263007815,10442,12.458509071851102
Super-Alpha (Balanced),15,30,0.55,-5.899625000000027,28.384050263007815,10442,12.458509071851102
Super-Alpha (Balanced),10,50,0.55,-6.007625000000027,28.390832295479946,10433,12.458509071851102
Super-Alpha (Balanced),15,50,0.55,-6.007625000000027,28.390832295479946,10433,12.458509071851102
Super-Alpha (Balanced),10,30,0.35,-8.16825000000012,26.523047107464652,16408,14.977499999999926
Super-Alpha (Balanced),15,30,0.35,-8.16825000000012,26.523047107464652,16408,14.977499999999926
Super-Alpha (Balanced),15,50,0.35,-8.273500000000118,26.52909447429107,16394,15.085000000000043
Super-Alpha (Balanced),10,50,0.35,-8.273500000000118,26.52909447429107,16394,15.085000000000043
Momentum Rocket,10,30,0.55,-8.655125000000123,26.7416125191021,17937,17.171742324261114
Momentum Rocket,15,30,0.55,-8.655125000000123,26.7416125191021,17937,17.171742324261114
Momentum Rocket,10,50,0.55,-8.751625000000123,26.754248203845385,17922,17.171742324261114
Momentum Rocket,15,50,0.55,-8.751625000000123,26.754248203845385,17922,17.171742324261114
Momentum Rocket,10,30,0.35,-8.837625000000152,26.51279414990604,19873,17.39347121854004
Momentum Rocket,15,30,0.35,-8.837625000000152,26.51279414990604,19873,17.39347121854004
Momentum Rocket,10,50,0.35,-8.926875000000154,26.523908969402278,19858,17.39347121854004
Momentum Rocket,15,50,0.35,-8.926875000000154,26.523908969402278,19858,17.39347121854004
